         433,          45,        11.7632,        18.2574,        11.6455,        21.5743,         0.3044,         0.5278,         0.3756,         5.0298,         0.4156,        28.6233,      1240.1714,       120.0127,         2.4676,        36.6211,         9.4563,        12.9812,         0.1163,         1.4080,         1.0667,         0.5472,         0.3186,         0.0528,         0.1357,         2.9501,         1.5003,       660.5906,         0.5797,         0.2769,         0.2803,         0.1057,
         437,          46,        11.1153,        18.0353,        11.5764,        22.4356,         0.3317,         0.5327,         0.3737,         5.4769,         0.4114,        32.7792,      1185.0078,       118.7712,         2.5071,        36.2550,         9.4077,        13.4054,         0.1383,         1.4874,         1.0573,         0.2606,         0.3086,         0.0569,         0.1403,         3.0062,         1.4535,       660.7289,         0.5840,         0.2769,         0.2799,         0.1045,
         449,          47,        11.9457,        18.0603,        12.0264,        20.9666,         0.3619,         0.4924,         0.3835,         5.2580,         0.4079,        24.6258,      1260.2992,       118.5893,         2.4764,        36.1471,         9.4080,        13.1990,         0.1475,         1.5903,         1.6593,         0.4919,         0.3121,         0.0522,         0.1438,         2.9695,         1.4297,       660.6257,         0.5825,         0.2761,         0.2801,         0.1054,
         454,          48,        12.8891,        18.4688,        11.9161,        19.7848,         0.3537,         0.4669,         0.3902,         5.3149,         0.4054,        27.9364,      1344.6843,       119.2875,         2.4941,        35.8236,         9.3046,        12.3804,         0.1584,         1.5052,         1.3401,         0.5883,         0.3049,         0.0522,         0.1432,         3.0152,         1.4336,       660.3159,         0.5874,         0.2755,         0.2776,         0.1055,
         459,          49,        12.2285,        18.7285,        11.4452,        20.7491,         0.3904,         0.5084,         0.3886,         5.3101,         0.4120,        34.0139,      1294.5472,       118.9554,         2.5057,        36.3783,         9.3696,        13.2177,         0.1376,         1.5655,         1.0204,         0.4089,         0.3071,         0.0522,         0.1477,         3.0440,         1.4160,       660.5922,         0.5895,         0.2755,         0.2767,         0.1021,
         474,          50,        11.8552,        18.8844,        11.6593,        20.3563,         0.3442,         0.5349,         0.3928,         4.9839,         0.4129,        32.9332,      1368.5740,       117.8243,         2.5621,        36.4060,         9.2551,        12.9131,         0.1270,         1.5442,         1.8560,         0.3914,         0.3127,         0.0506,         0.1488,         3.0616,         1.4236,       660.1435,         0.5854,         0.2748,         0.2779,         0.0988,
         476,          51,        11.2496,        18.8280,        11.2890,        21.2907,         0.3239,         0.5579,         0.3849,         5.0215,         0.4083,        28.8549,      1382.2957,       118.8039,         2.5828,        35.9980,         9.1757,        12.2061,         0.1488,         1.4866,         2.7465,         0.3303,         0.3089,         0.0570,         0.1465,         3.0132,         1.4065,       660.3401,         0.5867,         0.2750,         0.2784,         0.0988,
         508,          52,        10.3130,        19.0942,        11.3526,        21.3635,         0.3246,         0.5874,         0.3860,         5.4497,         0.4152,        25.4780,      1406.7524,       119.8687,         2.6143,        36.6672,         9.2550,        11.7578,         0.1589,         1.5029,         3.3601,         0.6787,         0.3024,         0.0538,         0.1489,         3.0712,         1.4459,       661.0596,         0.5820,         0.2762,         0.2763,         0.0992,
         514,          53,        11.2242,        19.0080,        11.6791,        20.3176,         0.3434,         0.5768,         0.3845,         5.1995,         0.4145,        32.9266,      1355.2585,       119.4764,         2.5947,        36.1733,         9.1251,        12.2364,         0.1482,         1.4279,         2.3299,         0.9746,         0.2929,         0.0605,         0.1449,         3.1009,         1.4113,       660.7481,         0.5827,         0.2756,         0.2738,         0.1018,
         519,          54,        12.1723,        18.9801,        12.0541,        20.3615,         0.3222,         0.5749,         0.3775,         5.5273,         0.4241,        28.2854,      1428.0039,       119.5536,         2.6108,        36.0170,         9.2749,        11.9819,         0.1257,         1.5020,         2.7779,         1.3132,         0.2938,         0.0616,         0.1495,         3.1118,         1.4268,       660.2196,         0.5780,         0.2767,         0.2736,         0.1055,
         546,          55,        12.9524,        18.7423,        11.8552,        18.7727,         0.3770,         0.6137,         0.3790,         5.0624,         0.4216,        26.7016,      1429.6476,       120.3340,         2.6196,        36.0720,         9.2545,        11.7422,         0.1316,         1.4201,         2.3839,         1.6844,         0.2855,         0.0512,         0.1541,         3.1381,         1.4416,       659.5079,         0.5801,         0.2763,         0.2782,         0.1067,
         549,          56,        13.4280,        19.0425,        12.3214,        19.3951,         0.3280,         0.6252,         0.3747,         4.7236,         0.4304,        23.0902,      1522.6721,       120.8902,         2.5618,        36.1274,         9.3338,        11.8945,         0.1309,         1.4318,         3.1066,         1.7731,         0.2743,         0.0573,         0.1577,         3.0919,         1.4174,       659.4029,         0.5832,         0.2766,         0.2819,         0.1083,
         559,          57,        14.1418,        19.3090,        11.9632,        18.7883,         0.3531,         0.5829,         0.3776,         4.9286,         0.4412,        24.3306,      1612.1919,       122.3197,         2.5427,        35.3772,         9.1853,        11.4334,         0.1164,         1.3677,         2.0527,         1.5806,         0.2827,         0.0605,         0.1554,         3.1651,         1.3867,       659.8436,         0.5874,         0.2757,         0.2785,         0.1093,
         568,          58,        14.1398,        19.3804,        11.9406,        18.4311,         0.3808,         0.5826,         0.3751,         5.0307,         0.4319,        25.2303,      1641.0739,       122.2974,         2.5263,        34.6691,         9.1691,        12.0125,         0.1299,         1.2652,         1.9789,         1.4109,         0.2731,         0.0511,         0.1549,         3.2362,         1.3573,       659.4214,         0.5849,         0.2763,         0.2781,         0.1062,
         581,          59,        14.8855,        18.9630,        12.0116,        17.0469,         0.4118,         0.5815,         0.3774,         4.6066,         0.4216,        25.1333,      1634.3572,       121.0554,         2.4728,        34.6133,         9.2531,        11.5707,         0.1268,         1.1937,         1.5891,         1.0943,         0.2711,         0.0440,         0.1529,         3.2014,         1.3276,       659.7299,         0.5867,         0.2764,         0.2764,         0.1063,
         604,          60,        13.9731,        19.2615,        11.9570,        15.7981,         0.4117,         0.5701,         0.3809,         4.7163,         0.4117,        26.6709,      1662.2980,       120.6752,         2.4477,        34.4198,         9.3659,        12.0163,         0.1298,         1.0967,         0.8577,         0.9195,         0.2611,         0.0498,         0.1544,         3.2017,         1.3736,       659.4433,         0.5889,         0.2753,         0.2741,         0.1095,
         615,          61,        13.4420,        19.3930,        12.3000,        17.4294,         0.3458,         0.6110,         0.3744,         4.9318,         0.4207,        26.6307,      1743.5826,       119.5540,         2.4100,        34.2061,         9.3205,        11.9822,         0.1321,         1.1863,         0.5326,         0.8535,         0.2604,         0.0465,         0.1582,         3.1855,         1.3978,       660.0383,         0.5906,         0.2764,         0.2773,         0.1076,
         620,          62,        12.7597,        19.2872,        12.7502,        18.2098,         0.3863,         0.6390,         0.3800,         4.6988,         0.4253,        23.2392,      1738.7379,       120.6527,         2.4385,        34.8902,         9.3973,        11.5717,         0.1130,         1.1449,         0.6697,         0.9892,         0.2683,         0.0344,         0.1556,         3.2111,         1.4396,       659.5946,         0.5924,         0.2758,         0.2753,         0.1093,
         622,          63,        13.4610,        18.8739,        12.2776,        17.5413,         0.3384,         0.6733,         0.3877,         4.3172,         0.4241,        24.8976,      1685.1874,       120.5981,         2.4430,        34.7750,         9.4363,        10.8926,         0.1224,         1.0318,         0.3182,         1.3295,         0.2596,         0.0325,         0.1585,         3.2529,         1.4507,       659.3491,         0.5915,         0.2752,         0.2793,         0.1100,
         624,          64,        12.5186,        18.6168,        12.2713,        16.8383,         0.3656,         0.6774,         0.3895,         4.0351,         0.4294,        24.6735,      1677.2443,       121.3294,         2.4291,        34.9283,         9.4608,        10.7795,         0.1211,         1.1020,         1.4036,         1.3670,         0.2528,         0.0354,         0.1603,         3.2909,         1.4555,       658.9161,         0.5952,         0.2741,         0.2807,         0.1127,
         626,          65,        12.0236,        18.5104,        11.9713,        16.9916,         0.3979,         0.6951,         0.3872,         4.3239,         0.4290,        24.1946,      1731.0573,       120.3370,         2.4855,        34.2158,         9.3302,        11.5751,         0.1133,         1.0796,         1.3428,         1.6805,         0.2455,         0.0281,         0.1562,         3.2318,         1.4306,       659.3878,         0.5909,         0.2750,         0.2853,         0.1155,
         631,          66,        12.4967,        18.3899,        12.2551,        16.1909,         0.4131,         0.6939,         0.3805,         4.1070,         0.4370,        23.7230,      1721.9093,       120.1519,         2.5191,        33.5881,         9.4197,        11.4645,         0.1165,         1.1083,         2.0787,         1.6476,         0.2410,         0.0330,         0.1605,         3.2828,         1.4515,       658.8720,         0.5922,         0.2752,         0.2841,         0.1162,
         638,          67,        12.8363,        18.1597,        12.0773,        15.5545,         0.4171,         0.6883,         0.3818,         3.7227,         0.4278,        25.4704,      1639.1849,       120.9662,         2.4686,        33.9959,         9.5551,        12.1356,         0.1177,         1.0676,         1.8399,         1.4356,         0.2429,         0.0423,         0.1626,         3.2533,         1.4475,       658.2646,         0.5885,         0.2761,         0.2881,         0.1173,
         648,          68,        11.9926,        17.7170,        11.9558,        14.7872,         0.4343,         0.6712,         0.3871,         4.1309,         0.4383,        24.1911,      1658.1716,       119.8101,         2.4097,        33.4103,         9.4185,        11.9752,         0.1183,         1.0670,         1.1911,         1.5791,         0.2383,         0.0330,         0.1642,         3.2924,         1.4158,       658.0464,         0.5893,         0.2760,         0.2858,         0.1176,
         656,          69,        12.5564,        17.5030,        12.3996,        16.0939,         0.3967,         0.7096,         0.3889,         4.2336,         0.4372,        32.5517,      1746.9197,       120.0434,         2.4739,        33.9928,         9.4819,        12.0195,         0.1235,         1.1118,         0.9910,         1.5140,         0.2393,         0.0210,         0.1684,         3.2543,         1.4558,       658.0339,         0.5928,         0.2768,         0.2830,         0.1162,
         667,          70,        12.7366,        17.3747,        12.4232,        15.2090,         0.4272,         0.7044,         0.3898,         4.2710,         0.4448,        21.0326,      1681.2207,       119.2651,         2.5033,        33.4128,         9.4453,        12.2890,         0.1237,         1.1360,         0.0695,         1.4279,         0.2495,         0.0247,         0.1696,         3.1830,         1.4298,       658.1515,         0.5974,         0.2756,         0.2839,         0.1184,
         674,          71,        11.8778,        17.0605,        12.4882,        16.2775,         0.3860,         0.7137,         0.3963,         3.8382,         0.4393,        26.3104,      1772.0057,       118.8369,         2.4403,        33.4273,         9.5808,        13.0539,         0.1238,         1.0900,         0.8325,         1.4501,         0.2454,         0.0301,         0.1723,         3.2323,         1.4296,       658.5953,         0.6002,         0.2758,         0.2881,         0.1201,
         679,          72,        11.1686,        17.3633,        12.1790,        16.8843,         0.3377,         0.7020,         0.3927,         4.0334,         0.4380,        26.5176,      1716.7905,       119.5074,         2.4504,        33.0462,         9.6062,        12.3178,         0.1368,         1.1674,         1.4419,         1.3202,         0.2367,         0.0188,         0.1700,         3.2647,         1.4740,       657.8745,         0.6010,         0.2751,         0.2836,         0.1168,
         686,          73,        10.5064,        17.0159,        11.6972,        16.1889,         0.3670,         0.6727,         0.3885,         4.1601,         0.4434,        21.6788,      1629.5094,       119.6694,         2.5031,        32.5512,         9.5011,        11.9421,         0.1400,         1.1559,         0.3788,         1.5545,         0.2389,         0.0279,         0.1720,         3.2403,         1.4265,       657.7531,         0.6047,         0.2751,         0.2805,         0.1192,
         712,          74,        11.3881,        16.8288,        11.2668,        16.0276,         0.4117,         0.6448,         0.3928,         4.6038,         0.4337,        29.3115,      1702.8651,       120.8864,         2.4581,        31.9334,         9.6052,        12.5195,         0.1444,         1.0664,         1.3479,         1.8166,         0.2397,         0.0322,         0.1736,         3.1696,         1.4578,       657.0679,         0.5998,         0.2753,         0.2786,         0.1163,
