 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1545,         0.4632,         0.1087,         0.5719,         0.0000,         0.1152,       125.6177,        65.6271,       165.5915,       289.0562,       283.1391,       451.9492,         0.4567,     85450.6406,     71421.9062
   1546,         0.3018,         0.2420,         0.5438,         0.0000,         0.0882,       125.2872,        65.5690,       165.3614,       289.3347,       283.1643,       451.9730,         0.4556,     85450.4531,     71421.9062
   1547,         1.0448,        -0.4400,         0.6048,         0.0265,         0.1468,       124.9707,        65.5137,       165.1424,       289.6062,       283.1891,       451.9979,         0.4580,     85450.2656,     71421.9062
   1548,         0.3511,         0.1875,         0.5387,         0.0000,         0.0772,       124.6419,        65.4559,       164.9130,       289.8771,       283.2139,       452.0227,         0.4614,     85450.0781,     71421.9062
   1549,         0.1350,         0.3646,         0.4996,         0.0000,         0.0431,       124.3140,        65.3980,       164.6839,       290.1518,       283.2393,       452.0469,         0.4565,     85449.8906,     71421.9062
   1550,         0.2166,         0.2947,         0.5113,         0.0000,         0.0579,       123.9869,        65.3401,       164.4550,       290.4230,       283.2644,       452.0717,         0.4534,     85449.7031,     71421.9062
   1551,         0.4493,         0.0940,         0.5432,         0.0000,         0.0867,       123.6607,        65.2823,       164.2265,       290.6907,       283.2893,       452.0970,         0.4565,     85449.5156,     71421.9062
   1552,         1.3962,        -0.7380,         0.6582,         0.0445,         0.1921,       123.3576,        65.2290,       164.0161,       290.9494,       283.3136,       452.1236,         0.4661,     85449.3281,     71421.9062
   1553,         0.8316,        -0.1419,         0.6897,         0.0050,         0.2227,       123.0356,        65.1718,       163.7902,       291.2058,       283.3380,       452.1504,         0.4670,     85449.1406,     71421.9062
   1554,         1.4996,        -0.7830,         0.7166,         1.5254,         0.2478,       124.2056,        65.1202,       163.5866,       291.4613,       283.3623,       452.1774,         0.4688,     85448.9531,     71421.9062
   1555,         1.4952,        -0.7777,         0.7175,         1.5557,         0.2561,       125.3876,        65.0717,       163.3954,       291.7290,       283.3873,       452.2028,         0.4614,     85448.7656,     71421.9062
   1556,         1.2106,        -0.4541,         0.7566,         1.5026,         0.2940,       126.5401,        65.0179,       163.1834,       291.9968,       283.4122,       452.2287,         0.4626,     85448.5781,     71421.9062
   1557,         1.5913,        -0.7422,         0.8491,         1.6207,         0.3824,       127.7485,        64.9760,       163.0190,       292.2646,       283.4368,       452.2554,         0.4667,     85448.3906,     71421.9062
   1558,         0.5631,         0.2824,         0.8456,         1.4657,         0.3821,       128.8761,        64.9186,       162.7927,       292.5349,       283.4614,       452.2823,         0.4635,     85448.2031,     71421.9062
   1559,         0.9624,        -0.1496,         0.8128,         1.4657,         0.3473,       130.0008,        64.8613,       162.5668,       292.8084,       283.4861,       452.3088,         0.4654,     85448.0156,     71421.9062
   1560,         0.1626,         0.5576,         0.7201,         1.4657,         0.2583,       131.1225,        64.8040,       162.3412,       293.0916,       283.5109,       452.3346,         0.4619,     85447.8281,     71421.9062
   1561,         0.2413,         0.4652,         0.7066,         1.4657,         0.2403,       132.2412,        64.7467,       162.1159,       293.3768,       283.5355,       452.3604,         0.4663,     85447.6406,     71421.9062
   1562,         0.9026,        -0.1313,         0.7713,         1.4657,         0.3024,       133.3570,        64.6895,       161.8909,       293.6636,       283.5600,       452.3862,         0.4689,     85447.4531,     71421.9062
   1563,         1.6359,        -0.7137,         0.9223,         1.6532,         0.4486,       134.5635,        64.6511,       161.7413,       293.9502,       283.5843,       452.4127,         0.4737,     85447.2656,     71421.9062
   1564,         0.6320,         0.3048,         0.9368,         1.4657,         0.4575,       135.6732,        64.5940,       161.5168,       294.2331,       283.6080,       452.4405,         0.4792,     85447.0781,     71421.9062
