 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
   8195,         4.3604,        -0.3833,         3.9771,       165.7981,       449.8161,        92.4743,     81090.5391,       168.3970,       282.2664,    154333.2812,       116.0000,       255.8262,         1.4968,         1.9089,         2.0682
   8196,         4.5700,        -0.6332,         3.9368,       166.1056,       449.8815,        92.5633,     81089.3125,       168.7587,       281.7063,    154332.6875,       116.0000,       255.7833,         1.4891,         1.8475,         2.0893
   8197,         3.3467,         0.4966,         3.8433,       166.3397,       449.9367,        92.6377,     81088.1875,       169.0618,       281.2166,    154332.1875,       116.0000,       255.7455,         1.3436,         1.7911,         2.0522
   8198,         4.9760,        -1.0191,         3.9569,       166.6251,       449.9984,        92.7224,     81086.9766,       169.4060,       280.6815,    154331.5938,       116.0000,       255.7040,         1.4475,         1.8609,         2.0960
   8199,         4.2631,        -0.2089,         4.0541,       166.9566,       450.0583,        92.8165,     81085.7812,       169.7875,       280.1387,    154331.0312,       116.0000,       255.6617,         1.5419,         1.8875,         2.1666
   8200,         4.6737,        -0.5164,         4.1573,       167.3904,       450.1121,        92.9312,     81084.5703,       170.2508,       279.6333,    154330.4375,       116.0000,       255.6222,         1.7474,         1.8478,         2.3095
   8201,         3.8374,         0.6569,         4.4943,       168.0816,       450.1758,        93.0976,     81083.3125,       170.9204,       279.0420,    154329.8125,       116.0000,       255.5759,         2.2664,         1.9664,         2.5279
   8202,         5.5676,        -1.2742,         4.2933,       168.4963,       450.2407,        93.2089,     81082.0938,       171.3692,       278.4163,    154329.2188,       116.0000,       255.5266,         1.7155,         2.0241,         2.2692
   8203,         4.0057,         0.5315,         4.5372,       169.1197,       450.3030,        93.3621,     81080.9531,       171.9853,       277.7761,    154328.6875,       116.0000,       255.4758,         2.1361,         2.0479,         2.4893
   8204,         5.4809,        -1.1979,         4.2831,       169.4663,       450.3625,        93.4601,     81079.6875,       172.3803,       277.1388,    154328.0312,       116.0000,       255.4250,         1.5847,         2.0558,         2.2273
   8205,         4.1568,         0.2872,         4.4440,       169.9412,       450.4184,        93.5838,     81078.4844,       172.8782,       276.5071,    154327.4688,       116.0000,       255.3746,         1.8433,         2.0543,         2.3897
   8206,         5.2019,        -0.7109,         4.4910,       170.4157,       450.4801,        93.7077,     81077.2500,       173.3761,       275.8141,    154326.7500,       116.0000,       255.3190,         1.8456,         2.1070,         2.3840
   8207,         5.1743,        -0.6244,         4.5499,       170.8673,       450.5400,        93.8271,     81076.0000,       173.8559,       275.1036,    154326.0312,       116.0000,       255.2618,         1.8015,         2.1501,         2.3998
   8208,         4.3935,         0.2781,         4.6716,       171.3514,       450.6014,        93.9532,     81074.6406,       174.3621,       274.3509,    154325.1562,       116.0000,       255.2008,         1.8692,         2.2241,         2.4475
   8209,         5.4588,        -0.5093,         4.9495,       172.1026,       450.6625,        94.1330,     81073.2344,       175.0824,       273.5641,    154324.1875,       116.0000,       255.1367,         2.4071,         2.2493,         2.7001
   8210,         5.3577,        -0.5834,         4.7743,       172.6066,       450.7198,        94.2636,     81071.8203,       175.6055,       272.7729,    154323.2188,       116.0000,       255.0721,         1.9158,         2.2990,         2.4752
   8211,         4.9751,        -0.2144,         4.7608,       173.0849,       450.7697,        94.3891,     81070.4297,       176.1081,       272.0125,    154322.2500,       116.0000,       255.0094,         1.8669,         2.2853,         2.4754
   8212,         5.3745,        -0.6519,         4.7226,       173.4979,       450.8151,        94.5018,     81069.0312,       176.5589,       271.2724,    154321.2812,       116.0000,       254.9479,         1.7386,         2.2738,         2.4488
   8213,         5.2850,        -0.3958,         4.8892,       173.9972,       450.8624,        94.6320,     81067.6094,       177.0790,       270.4986,    154320.2812,       116.0000,       254.8832,         1.9133,         2.3325,         2.5567
   8214,         5.6304,        -0.3897,         5.2407,       174.7371,       450.9138,        94.8105,     81066.1094,       177.7921,       269.6565,    154319.2188,       116.0000,       254.8127,         2.3986,         2.4423,         2.7984
   8215,         5.3634,        -0.3465,         5.0169,       175.2075,       450.9605,        94.9354,     81064.5859,       178.2903,       268.8170,    154318.1094,       116.0000,       254.7421,         1.8620,         2.4542,         2.5627
   8216,         4.3977,         1.0278,         5.4255,       175.9940,       451.0128,        95.1241,     81062.9766,       179.0434,       267.8933,    154316.9375,       116.0000,       254.6642,         2.4983,         2.5569,         2.8686
   8217,         3.3287,         1.7878,         5.1165,       176.6503,       451.0514,        95.2865,     81061.3516,       179.6911,       267.0156,    154315.7188,       116.0000,       254.5895,         2.2417,         2.4217,         2.6948
   8218,         5.0347,        -0.5537,         4.4810,       176.8790,       451.0701,        95.3637,     81059.9297,       179.9970,       266.3108,    154314.6875,       116.0000,       254.5281,         1.3884,         2.2022,         2.2788
   8219,         4.1262,         0.4033,         4.5295,       177.2473,       451.0809,        95.4688,     81058.6172,       180.4146,       265.7109,    154313.8438,       116.0000,       254.4747,         1.6690,         2.0908,         2.4386
   8220,         5.6951,        -1.0509,         4.6442,       177.6552,       451.0983,        95.5819,     81057.3281,       180.8641,       265.0800,    154313.0312,       116.0000,       254.4189,         1.7502,         2.1579,         2.4862
   8221,         5.3929,        -0.5386,         4.8543,       178.1250,       451.1205,        95.7076,     81055.9141,       181.3633,       264.3866,    154312.0312,       116.0000,       254.3577,         1.8762,         2.2663,         2.5880
