 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1436,         0.0967,         0.8179,         0.9146,         0.0000,         0.4954,       164.9841,        96.3033,       182.6459,       237.9764,       252.8728,       447.5385,         0.4192,     81150.0391,     72779.2969
   1437,         0.0000,         0.7807,         0.7807,         0.0000,         0.3655,       164.5500,        96.2484,       182.4228,       238.4223,       252.8999,       447.5182,         0.4152,     81149.8516,     72779.2969
   1438,         0.0123,         0.6439,         0.6562,         0.0000,         0.2517,       164.1171,        96.1934,       182.2000,       238.8730,       252.9276,       447.4979,         0.4045,     81149.6641,     72779.2969
   1439,         0.0000,         0.7553,         0.7553,         0.0000,         0.3418,       163.6852,        96.1387,       181.9776,       239.3162,       252.9548,       447.4784,         0.4135,     81149.4766,     72779.2969
   1440,         0.0000,         0.8227,         0.8227,         0.0000,         0.4019,       163.2546,        96.0839,       181.7555,       239.7527,       252.9816,       447.4597,         0.4209,     81149.2891,     72779.2969
   1441,         0.0924,         0.8162,         0.9086,         0.0000,         0.4769,       162.8251,        96.0288,       181.5322,       240.1823,       253.0080,       447.4416,         0.4316,     81149.1016,     72779.2969
   1442,         0.1509,         0.8757,         1.0266,         0.0000,         0.5824,       162.3967,        95.9732,       181.3069,       240.6050,       253.0342,       447.4236,         0.4442,     81148.9141,     72779.2969
   1443,         0.0668,         0.9659,         1.0326,         0.0000,         0.5800,       161.9694,        95.9174,       181.0811,       241.0218,       253.0600,       447.4061,         0.4526,     81148.7266,     72779.2969
   1444,         0.1186,         0.7891,         0.9076,         0.0000,         0.4538,       161.5433,        95.8610,       180.8527,       241.4397,       253.0866,       447.3885,         0.4538,     81148.5391,     72779.2969
   1445,         0.0251,         0.6051,         0.6302,         0.0000,         0.1980,       161.1182,        95.8045,       180.6244,       241.8707,       253.1144,       447.3701,         0.4321,     81148.3516,     72779.2969
   1446,         0.0391,         0.5436,         0.5827,         0.0000,         0.1589,       160.6943,        95.7481,       180.3966,       242.3051,       253.1427,       447.3511,         0.4238,     81148.1641,     72779.2969
   1447,         0.0174,         0.5733,         0.5907,         0.0000,         0.1677,       160.2715,        95.6918,       180.1694,       242.7386,       253.1711,       447.3328,         0.4230,     81147.9766,     72779.2969
   1448,         0.0228,         0.6819,         0.7048,         0.0000,         0.2644,       159.8498,        95.6356,       179.9426,       243.1581,       253.1981,       447.3154,         0.4404,     81147.7891,     72779.2969
   1449,         0.0000,         0.7984,         0.7984,         0.0000,         0.3479,       159.4293,        95.5794,       179.7163,       243.5692,       253.2245,       447.2985,         0.4505,     81147.6016,     72779.2969
